Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Carbon_Emission,Emission_Category,Region,Time_Slot,Decision
Order Processing,Critical,139,Bare_Metal,Medium,4.71,1.01,High,us-west,Weekend,Shift to Green Region + Night
Order Processing,Low,23,Container_Micro,Medium,0.19,0.01,Very Low,Green_Region,Night,Execute Immediately
Inventory Update,Medium,40,Container_Small,Medium,0.52,0.18,Low,eu-central,Peak,Green Region Immediate
Shipment Tracking,Low,10,Container_Micro,Medium,0.11,0.08,Very Low,ap-south,Peak,Green Region Immediate
Warehouse Allocation,High,110,VM_Large,Low,3.8,1.71,Very High,us-east,Peak,Shift to Green Region + Night
Supplier Management,Low,27,VM_Small,Low,0.7,0.19,Low,eu-central,Peak,Green Region Immediate
Order Processing,Medium,58,VM_Medium,Low,1.22,0.14,Very Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,High,93,VM_Large,Critical,2.36,1.52,High,ap-south,Weekend,Green Region Immediate
Inventory Update,Low,21,Container_Micro,Critical,0.2,0.02,Very Low,Green_Region,Off-Peak,Execute Immediately
Warehouse Allocation,High,90,VM_Large,Medium,3.22,1.34,High,ap-east,Peak,Shift to Green Region + Night
Demand Forecasting,Low,13,VM_Small,Medium,0.37,0.15,Low,ap-east,Peak,Green Region Immediate
Supplier Management,Low,22,VM_Small,Medium,0.43,0.27,Low,ap-south,Weekend,Green Region Immediate
Quality Control,High,84,Container_Large,Critical,1.37,0.57,Medium,us-east,Peak,Schedule Night (Low Load)
Payment Settlement,Medium,59,Container_Small,High,0.57,0.37,Low,ap-south,Night,Green Region Immediate
Fleet Dispatch,High,77,Container_Large,High,0.9,0.58,Medium,ap-south,Night,Shift to Green Region + Night
Order Processing,Low,18,Container_Micro,Critical,0.15,0.08,Very Low,ap-south,Weekend,Green Region Immediate
Fleet Dispatch,High,105,Container_Large,Medium,1.26,0.12,Very Low,Green_Region,Weekend,Schedule Night (Low Load)
Fleet Dispatch,Low,18,Container_Micro,Critical,0.14,0.1,Very Low,ap-south,Night,Green Region Immediate
Returns Processing,Medium,37,VM_Medium,Medium,0.71,0.29,Low,us-east,Night,Green Region Immediate
Shipment Tracking,Low,30,VM_Small,High,0.58,0.18,Low,us-west,Weekend,Green Region Immediate
Shipment Tracking,Low,25,Container_Micro,Medium,0.2,0.07,Very Low,eu-central,Night,Green Region Immediate
Warehouse Allocation,Critical,121,VM_XLarge,Medium,2.98,1.21,High,us-east,Weekend,Shift to Green Region + Night
Returns Processing,Medium,58,VM_Medium,Critical,1.7,0.65,Medium,ap-east,Peak,Schedule Night (Low Load)
Warehouse Allocation,Medium,44,VM_Medium,Critical,1.3,0.56,Medium,ap-east,Peak,Schedule Night (Low Load)
Warehouse Allocation,High,105,Container_Large,Critical,1.23,0.12,Very Low,Green_Region,Weekend,Execute Immediately
Returns Processing,Low,11,VM_Small,Low,0.24,0.01,Very Low,Green_Region,Weekend,Execute Immediately
Quality Control,Low,23,VM_Small,Medium,0.48,0.22,Low,ap-east,Off-Peak,Green Region Immediate
Shipment Tracking,Critical,207,Bare_Metal,High,6.11,1.88,Very High,us-west,Night,Shift to Green Region + Night
Warehouse Allocation,Medium,39,Container_Small,Medium,0.53,0.21,Low,ap-east,Peak,Green Region Immediate
Warehouse Allocation,Low,28,Container_Micro,Medium,0.25,0.12,Very Low,us-east,Off-Peak,Green Region Immediate
Inventory Update,Medium,34,Container_Small,Critical,0.37,0.25,Low,ap-south,Off-Peak,Green Region Immediate
Payment Settlement,Medium,57,VM_Medium,Critical,1.37,0.88,High,ap-south,Off-Peak,Shift to Green Region + Night
Shipment Tracking,Low,23,Container_Micro,Low,0.19,0.07,Very Low,eu-central,Weekend,Green Region Immediate
Shipment Tracking,High,106,VM_Large,Medium,2.53,1.46,High,ap-south,Night,Shift to Green Region + Night
Shipment Tracking,Critical,160,Bare_Metal,Critical,5.03,1.22,High,us-west,Weekend,Shift to Green Region + Night
Payment Settlement,High,67,VM_Large,High,1.8,0.44,Medium,us-west,Off-Peak,Schedule Night (Low Load)
Inventory Update,Medium,42,VM_Medium,High,1.16,0.35,Low,us-west,Peak,Green Region Immediate
Inventory Update,Critical,296,VM_XLarge,Medium,5.31,2.4,Very High,ap-east,Night,Shift to Green Region + Night
Supplier Management,Medium,52,VM_Medium,High,1.15,0.1,Very Low,Green_Region,Off-Peak,Execute Immediately
Supplier Management,Critical,272,Bare_Metal,Low,10.73,0.82,High,Green_Region,Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,138,Bare_Metal,Critical,4.42,2.72,Very High,ap-south,Weekend,Shift to Green Region + Night
Inventory Update,Critical,132,Bare_Metal,High,4.33,1.91,Very High,ap-east,Night,Shift to Green Region + Night
Warehouse Allocation,Medium,35,VM_Medium,Low,0.69,0.18,Low,eu-central,Night,Green Region Immediate
Order Processing,High,104,VM_Large,Critical,2.61,1.26,High,us-east,Weekend,Shift to Green Region + Night
Quality Control,Medium,49,Container_Small,Critical,0.52,0.37,Low,ap-south,Weekend,Green Region Immediate
Fleet Dispatch,Medium,43,Container_Small,High,0.48,0.33,Low,ap-south,Off-Peak,Green Region Immediate
Warehouse Allocation,Medium,37,VM_Medium,Critical,0.75,0.3,Low,us-east,Weekend,Green Region Immediate
Quality Control,Critical,278,Bare_Metal,High,7.3,2.21,Very High,eu-central,Night,Shift to Green Region + Night
Quality Control,Low,13,VM_Small,Low,0.39,0.12,Very Low,eu-central,Peak,Green Region Immediate
Demand Forecasting,Critical,251,Bare_Metal,High,7.56,5.17,Very High,ap-south,Weekend,Shift to Green Region + Night
Returns Processing,Medium,37,Container_Small,Medium,0.48,0.27,Low,ap-south,Peak,Green Region Immediate
Warehouse Allocation,High,101,VM_Large,Critical,2.47,1.18,High,us-east,Weekend,Shift to Green Region + Night
Quality Control,Medium,42,Container_Small,Medium,0.56,0.35,Low,ap-south,Peak,Green Region Immediate
Quality Control,Critical,127,Bare_Metal,Low,4.69,2.69,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,High,91,VM_Large,Critical,2.43,0.98,High,ap-east,Weekend,Shift to Green Region + Night
Supplier Management,High,71,VM_Large,Medium,1.82,0.63,Medium,eu-central,Night,Schedule Night (Low Load)
Warehouse Allocation,Medium,52,VM_Medium,Low,1.18,0.72,Medium,ap-south,Weekend,Schedule Night (Low Load)
Supplier Management,Critical,138,Bare_Metal,Medium,4.54,0.99,High,us-west,Night,Shift to Green Region + Night
Quality Control,Medium,46,Container_Small,Low,0.51,0.23,Low,ap-east,Off-Peak,Green Region Immediate
Warehouse Allocation,Critical,159,Bare_Metal,Critical,4.64,0.23,Low,Green_Region,Night,Execute Immediately
Order Processing,Low,10,VM_Small,High,0.24,0.05,Very Low,us-west,Weekend,Green Region Immediate
Warehouse Allocation,Low,21,VM_Small,Critical,0.43,0.26,Low,ap-south,Off-Peak,Green Region Immediate
Supplier Management,Low,18,VM_Small,Critical,0.33,0.19,Low,ap-south,Night,Green Region Immediate
Warehouse Allocation,High,72,VM_Large,High,2.55,1.18,High,ap-east,Peak,Shift to Green Region + Night
Order Processing,Low,25,VM_Small,Low,0.43,0.2,Low,us-east,Night,Green Region Immediate
Order Processing,Low,29,Container_Micro,Low,0.27,0.08,Very Low,us-west,Off-Peak,Green Region Immediate
Returns Processing,Low,19,VM_Small,Medium,0.39,0.17,Low,us-east,Off-Peak,Green Region Immediate
Shipment Tracking,Medium,31,VM_Medium,Low,0.9,0.42,Medium,us-east,Peak,Schedule Night (Low Load)
Returns Processing,High,101,Container_Large,Low,1.62,0.53,Medium,eu-central,Peak,Schedule Night (Low Load)
Warehouse Allocation,Low,21,Container_Micro,Low,0.24,0.05,Very Low,us-west,Peak,Green Region Immediate
Inventory Update,High,119,VM_Large,High,2.88,0.9,High,eu-central,Night,Shift to Green Region + Night
Inventory Update,Low,16,Container_Micro,Critical,0.12,0.03,Very Low,us-west,Night,Green Region Immediate
Payment Settlement,Low,11,Container_Micro,Medium,0.08,0.02,Very Low,us-west,Night,Green Region Immediate
Quality Control,Medium,52,VM_Medium,Medium,1.15,0.32,Low,us-west,Weekend,Green Region Immediate
Demand Forecasting,Low,27,VM_Small,Low,0.49,0.29,Low,ap-south,Weekend,Green Region Immediate
Quality Control,Medium,50,Container_Small,High,0.49,0.34,Low,ap-south,Night,Green Region Immediate
Quality Control,High,86,VM_Large,High,3.05,1.32,High,ap-east,Peak,Shift to Green Region + Night
Fleet Dispatch,Low,11,VM_Small,High,0.33,0.1,Very Low,us-west,Peak,Green Region Immediate
Payment Settlement,High,91,Container_Large,High,1.08,0.72,Medium,ap-south,Weekend,Schedule Night (Low Load)
Quality Control,Medium,40,VM_Medium,Critical,0.8,0.32,Low,us-east,Night,Green Region Immediate
Payment Settlement,Low,25,Container_Micro,Critical,0.2,0.1,Very Low,us-east,Night,Green Region Immediate
Fleet Dispatch,Low,25,Container_Micro,Low,0.23,0.02,Very Low,Green_Region,Off-Peak,Execute Immediately
Shipment Tracking,High,104,VM_Large,Critical,2.84,1.05,High,eu-central,Off-Peak,Shift to Green Region + Night
Shipment Tracking,Critical,147,VM_XLarge,Medium,3.24,0.33,Low,Green_Region,Night,Execute Immediately
Payment Settlement,Medium,41,VM_Medium,High,0.88,0.4,Medium,ap-east,Off-Peak,Schedule Night (Low Load)
Demand Forecasting,High,85,VM_Large,Low,2.24,0.54,Medium,us-west,Weekend,Schedule Night (Low Load)
Inventory Update,Medium,50,VM_Medium,Critical,1.12,0.13,Very Low,Green_Region,Weekend,Execute Immediately
Order Processing,Medium,34,VM_Medium,High,0.68,0.18,Low,us-west,Night,Green Region Immediate
Warehouse Allocation,High,111,VM_Large,Medium,2.62,1.01,High,ap-east,Night,Shift to Green Region + Night
Returns Processing,Low,20,Container_Micro,Low,0.23,0.07,Very Low,eu-central,Peak,Green Region Immediate
Warehouse Allocation,Critical,280,Bare_Metal,High,7.5,0.6,Medium,Green_Region,Night,Schedule Night (Low Load)
Returns Processing,Critical,300,VM_XLarge,High,5.77,2.63,Very High,us-east,Weekend,Shift to Green Region + Night
Warehouse Allocation,Medium,38,VM_Medium,High,0.87,0.38,Low,ap-east,Off-Peak,Green Region Immediate
Inventory Update,Critical,145,VM_XLarge,Medium,3.23,0.95,High,eu-central,Weekend,Shift to Green Region + Night
Quality Control,High,70,VM_Large,Critical,1.92,1.25,High,ap-south,Off-Peak,Shift to Green Region + Night
Inventory Update,Medium,33,VM_Medium,Low,0.63,0.17,Low,us-west,Night,Green Region Immediate
Demand Forecasting,High,96,Container_Large,Low,1.14,0.46,Medium,us-east,Weekend,Schedule Night (Low Load)
Fleet Dispatch,High,86,VM_Large,Medium,2.23,0.58,Medium,eu-central,Off-Peak,Schedule Night (Low Load)
Supplier Management,Medium,43,Container_Small,Critical,0.42,0.03,Very Low,Green_Region,Weekend,Execute Immediately
Supplier Management,High,119,VM_Large,Critical,3.01,1.33,High,us-east,Off-Peak,Shift to Green Region + Night
Shipment Tracking,Medium,38,VM_Medium,Medium,1.07,0.47,Medium,us-east,Peak,Schedule Night (Low Load)
Returns Processing,Critical,235,Bare_Metal,High,9.2,4.29,Very High,us-east,Peak,Shift to Green Region + Night
Order Processing,Medium,53,Container_Small,Critical,0.58,0.28,Low,us-east,Off-Peak,Green Region Immediate
Inventory Update,Low,29,Container_Micro,Low,0.26,0.14,Very Low,ap-south,Off-Peak,Green Region Immediate
Inventory Update,High,89,VM_Large,Low,2.31,0.61,Medium,eu-central,Weekend,Schedule Night (Low Load)
Returns Processing,Medium,44,VM_Medium,High,0.91,0.41,Medium,us-east,Night,Schedule Night (Low Load)
Payment Settlement,High,86,Container_Large,Low,1.42,0.89,High,ap-south,Peak,Shift to Green Region + Night
Order Processing,Medium,55,VM_Medium,High,1.69,0.18,Low,Green_Region,Peak,Execute Immediately
Demand Forecasting,Low,23,Container_Micro,Critical,0.27,0.02,Very Low,Green_Region,Peak,Execute Immediately
Shipment Tracking,High,111,VM_Large,Low,2.81,0.2,Low,Green_Region,Weekend,Execute Immediately
Quality Control,Critical,144,VM_XLarge,High,3.4,1.47,High,us-east,Weekend,Shift to Green Region + Night
Demand Forecasting,Medium,51,VM_Medium,High,1.01,0.72,Medium,ap-south,Night,Schedule Night (Low Load)
Warehouse Allocation,Medium,40,Container_Small,Medium,0.39,0.1,Very Low,us-west,Night,Green Region Immediate
Order Processing,Medium,34,Container_Small,High,0.32,0.15,Low,ap-east,Night,Green Region Immediate
Demand Forecasting,Low,11,Container_Micro,Medium,0.1,0.04,Very Low,us-east,Off-Peak,Green Region Immediate
Returns Processing,High,83,VM_Large,Critical,2.22,1.43,High,ap-south,Off-Peak,Shift to Green Region + Night
Shipment Tracking,Low,16,Container_Micro,High,0.15,0.03,Very Low,us-west,Off-Peak,Green Region Immediate
Inventory Update,High,117,Container_Large,High,1.26,0.37,Low,eu-central,Night,Green Region Immediate
Warehouse Allocation,Low,16,VM_Small,Low,0.32,0.09,Very Low,us-west,Night,Schedule Night (Low Load)
Inventory Update,High,100,Container_Large,Medium,1.68,1.2,High,ap-south,Peak,Shift to Green Region + Night
Order Processing,Low,15,VM_Small,Medium,0.32,0.1,Very Low,us-west,Off-Peak,Green Region Immediate
Returns Processing,High,79,VM_Large,High,2.74,0.69,Medium,eu-central,Peak,Schedule Night (Low Load)
Warehouse Allocation,Critical,264,VM_XLarge,Medium,5.06,2.33,Very High,us-east,Off-Peak,Shift to Green Region + Night
Payment Settlement,Critical,230,Bare_Metal,High,9.37,5.93,Very High,ap-south,Peak,Shift to Green Region + Night
Order Processing,High,64,VM_Large,Medium,1.65,0.77,Medium,us-east,Night,Schedule Night (Low Load)
Demand Forecasting,Medium,47,Container_Small,High,0.51,0.26,Low,ap-east,Off-Peak,Green Region Immediate
Shipment Tracking,Medium,44,VM_Medium,Low,0.88,0.2,Low,us-west,Night,Green Region Immediate
Fleet Dispatch,Medium,45,VM_Medium,Critical,0.88,0.44,Medium,ap-east,Night,Schedule Night (Low Load)
Payment Settlement,High,77,VM_Large,High,2.59,1.2,High,us-east,Peak,Shift to Green Region + Night
Returns Processing,Low,19,Container_Micro,High,0.17,0.04,Very Low,us-west,Weekend,Green Region Immediate
Demand Forecasting,High,110,VM_Large,Medium,2.62,1.05,High,ap-east,Night,Shift to Green Region + Night
Inventory Update,High,74,VM_Large,Low,2.02,0.52,Medium,eu-central,Weekend,Schedule Night (Low Load)
Supplier Management,Medium,58,Container_Small,Medium,0.6,0.25,Low,ap-east,Weekend,Green Region Immediate
Demand Forecasting,Low,11,VM_Small,Medium,0.27,0.06,Very Low,us-west,Off-Peak,Shift to Green Region + Night
Inventory Update,High,116,Container_Large,Medium,1.91,1.24,High,ap-south,Peak,Shift to Green Region + Night
Warehouse Allocation,Medium,55,VM_Medium,High,1.24,0.43,Medium,eu-central,Weekend,Schedule Night (Low Load)
Warehouse Allocation,High,91,Container_Large,Low,1.54,0.18,Low,Green_Region,Peak,Execute Immediately
Shipment Tracking,High,88,Container_Large,Critical,1.14,0.46,Medium,ap-east,Off-Peak,Schedule Night (Low Load)
Demand Forecasting,Critical,148,Bare_Metal,Critical,4.93,2.23,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Order Processing,Low,16,VM_Small,Critical,0.33,0.13,Very Low,us-east,Night,Green Region Immediate
Returns Processing,Medium,32,Container_Small,Medium,0.33,0.11,Very Low,eu-central,Off-Peak,Green Region Immediate
Inventory Update,Medium,35,VM_Medium,Low,1.0,0.64,Medium,ap-south,Peak,Schedule Night (Low Load)
Supplier Management,Medium,57,VM_Medium,Critical,1.27,0.42,Medium,eu-central,Weekend,Schedule Night (Low Load)
Supplier Management,High,112,VM_Large,Critical,3.0,0.32,Low,Green_Region,Off-Peak,Execute Immediately
Inventory Update,Low,30,VM_Small,Medium,0.5,0.23,Low,ap-east,Night,Green Region Immediate
Warehouse Allocation,Medium,51,VM_Medium,Medium,1.52,0.32,Low,us-west,Peak,Green Region Immediate
Inventory Update,Medium,39,Container_Small,Low,0.4,0.16,Low,ap-east,Off-Peak,Green Region Immediate
Fleet Dispatch,High,66,VM_Large,Low,1.7,0.45,Medium,us-west,Night,Schedule Night (Low Load)
Warehouse Allocation,Medium,33,VM_Medium,Critical,0.76,0.17,Low,us-west,Off-Peak,Green Region Immediate
Payment Settlement,Critical,134,Bare_Metal,High,4.94,3.25,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Returns Processing,High,82,Container_Large,Medium,1.38,0.47,Medium,eu-central,Peak,Schedule Night (Low Load)
Returns Processing,Medium,52,VM_Medium,Medium,1.02,0.09,Very Low,Green_Region,Night,Execute Immediately
Payment Settlement,Medium,37,VM_Medium,High,1.1,0.07,Very Low,Green_Region,Peak,Execute Immediately
Payment Settlement,Medium,54,Container_Small,Low,0.52,0.13,Very Low,us-west,Night,Green Region Immediate
Inventory Update,High,115,VM_Large,High,3.73,0.89,High,us-west,Peak,Shift to Green Region + Night
Demand Forecasting,Low,26,VM_Small,Medium,0.48,0.3,Low,ap-south,Weekend,Green Region Immediate
Inventory Update,Critical,164,VM_XLarge,Low,4.76,3.37,Very High,ap-south,Peak,Shift to Green Region + Night
Warehouse Allocation,Medium,38,Container_Small,Medium,0.39,0.02,Very Low,Green_Region,Off-Peak,Execute Immediately
Payment Settlement,Medium,55,VM_Medium,High,1.13,0.47,Medium,ap-east,Night,Schedule Night (Low Load)
Demand Forecasting,Critical,175,VM_XLarge,Low,5.07,2.48,Very High,ap-east,Peak,Shift to Green Region + Night
Payment Settlement,Low,23,VM_Small,Low,0.46,0.15,Low,eu-central,Weekend,Green Region Immediate
Payment Settlement,Low,13,VM_Small,Low,0.29,0.18,Low,ap-south,Weekend,Green Region Immediate
Shipment Tracking,Critical,278,Bare_Metal,High,8.75,4.23,Very High,us-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Low,30,Container_Micro,High,0.28,0.13,Very Low,us-east,Off-Peak,Green Region Immediate
Demand Forecasting,Low,18,Container_Micro,Medium,0.21,0.02,Very Low,Green_Region,Peak,Execute Immediately
Returns Processing,Low,29,VM_Small,High,0.51,0.25,Low,ap-east,Night,Green Region Immediate
Returns Processing,Medium,58,VM_Medium,Medium,1.2,0.8,High,ap-south,Night,Shift to Green Region + Night
Quality Control,Low,13,Container_Micro,Critical,0.12,0.08,Very Low,ap-south,Off-Peak,Green Region Immediate
Demand Forecasting,Low,13,VM_Small,Medium,0.29,0.2,Low,ap-south,Weekend,Green Region Immediate
Warehouse Allocation,Medium,35,VM_Medium,Low,0.7,0.22,Low,eu-central,Night,Green Region Immediate
Inventory Update,Medium,34,Container_Small,Low,0.43,0.19,Low,us-east,Peak,Green Region Immediate
Order Processing,Low,19,VM_Small,High,0.35,0.16,Low,ap-east,Night,Green Region Immediate
Payment Settlement,Low,29,Container_Micro,High,0.26,0.01,Very Low,Green_Region,Off-Peak,Execute Immediately
Payment Settlement,High,65,Container_Large,Medium,0.81,0.33,Low,ap-east,Weekend,Green Region Immediate
Fleet Dispatch,Critical,187,Bare_Metal,Medium,5.67,2.51,Very High,us-east,Weekend,Shift to Green Region + Night
Warehouse Allocation,High,119,Container_Large,Medium,1.91,1.2,High,ap-south,Peak,Shift to Green Region + Night
Shipment Tracking,High,84,Container_Large,Low,1.01,0.57,Medium,ap-south,Night,Schedule Night (Low Load)
Demand Forecasting,High,77,VM_Large,Medium,1.97,0.59,Medium,us-west,Weekend,Green Region Immediate
Demand Forecasting,Critical,282,Bare_Metal,Critical,8.67,3.15,Very High,eu-central,Off-Peak,Shift to Green Region + Night
